id	state	date	amount	currency_name	currency_code	from	to	description
1527905	CANCELED	2021-01-15T05:10:15Z	19664	Hryvnia	UAH	Visa 9812145096080028	Mastercard 2052066307781062	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
5447107	EXECUTED	2021-11-01T03:49:47Z	18924	Peso	MXN	Visa 1750234568535711	Mastercard 1365460456366991	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
1690784	CANCELED	2021-11-02T02:03:05Z	27487	Rupiah	IDR	Mastercard 4126837433624990	Visa 1620199906118385	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
1838163	EXECUTED	2020-12-11T05:45:02Z	18154	Yuan Renminbi	CNY	Mastercard 9557665746204580	Discover 0970136905701523	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
5368178	PENDING	2020-07-07T13:57:01Z	22557	Yuan Renminbi	CNY	Mastercard 4225154400758745	Mastercard 0556460753444710	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
1068715	PENDING	2023-08-03T16:00:37Z	18891	Yuan Renminbi	CNY		РЎС‡РµС‚ 04362233061130879079	РћС‚РєСЂС‹С‚РёРµ РІРєР»Р°РґР°
302564	EXECUTED	2021-01-05T12:20:25Z	21153	Euro	EUR		РЎС‡РµС‚ 65381695235722669691	РћС‚РєСЂС‹С‚РёРµ РІРєР»Р°РґР°
1408892	EXECUTED	2020-08-15T15:35:06Z	16101	Peso	COP	American Express 7606039262578692	РЎС‡РµС‚ 35266864227613549441	РџРµСЂРµРІРѕРґ РѕСЂРіР°РЅРёР·Р°С†РёРё
1556435	EXECUTED	2020-06-17T02:29:13Z	27776	Sol	PEN	Mastercard 1191143054153256	РЎС‡РµС‚ 48560440734108989910	РџРµСЂРµРІРѕРґ РѕСЂРіР°РЅРёР·Р°С†РёРё
2832473	EXECUTED	2022-01-11T00:56:43Z	12360	Euro	EUR	Discover 5736874734579262	Visa 7416410722264963	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
448808	EXECUTED	2020-02-02T02:06:15Z	14192	Dollar	CAD	Mastercard 8790526356570257	Visa 4436252184653909	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
3143449	EXECUTED	2023-08-31T11:11:51Z	32957	Real	BRL	Visa 9446732032111774	Mastercard 3661534380456235	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
2196934	EXECUTED	2022-04-05T07:17:04Z	24588	Dinar	TND	РЎС‡РµС‚ 68856226464168431377	РЎС‡РµС‚ 64009673148302301520	РџРµСЂРµРІРѕРґ СЃРѕ СЃС‡РµС‚Р° РЅР° СЃС‡РµС‚
2051401	PENDING	2023-01-14T13:59:44Z	21616	Franc	XAF	Discover 8023806415405011	Discover 4330675064880873	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
1724852	EXECUTED	2021-04-22T20:18:44Z	32530	Peso	COP	Discover 3003758800594505	Discover 3913900928954933	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
3042949	CANCELED	2020-12-28T00:23:57Z	15619	Yen	JPY	РЎС‡РµС‚ 89171183136098678575	РЎС‡РµС‚ 37156155340203759995	РџРµСЂРµРІРѕРґ СЃРѕ СЃС‡РµС‚Р° РЅР° СЃС‡РµС‚
2035682	EXECUTED	2021-03-24T00:14:15Z	15992	Rupiah	IDR	Visa 9460814254923403	Visa 4565912603866373	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
1801202	EXECUTED	2021-08-31T20:53:22Z	31579	Peso	PHP	РЎС‡РµС‚ 75916879130750839461	РЎС‡РµС‚ 89355195304817814223	РџРµСЂРµРІРѕРґ РѕСЂРіР°РЅРёР·Р°С†РёРё
2377317	PENDING	2023-08-14T09:58:41Z	23305	Koruna	CZK		РЎС‡РµС‚ 60476196595963796362	РћС‚РєСЂС‹С‚РёРµ РІРєР»Р°РґР°
1199673	EXECUTED	2020-10-07T08:49:52Z	25677	Peso	PHP	American Express 9868997595486172	Visa 0291209661494166	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
2402660	EXECUTED	2020-03-01T14:39:08Z	11132	Dollar	CAD		РЎС‡РµС‚ 53522779957660382631	РћС‚РєСЂС‹С‚РёРµ РІРєР»Р°РґР°
930103	EXECUTED	2020-11-30T08:30:48Z	12031	Rupiah	IDR	Mastercard 8149574569861684	Discover 1229618072674328	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
3960261	EXECUTED	2020-04-12T17:56:59Z	18611	Dollar	USD		РЎС‡РµС‚ 05766968807462300151	РћС‚РєСЂС‹С‚РёРµ РІРєР»Р°РґР°
1588406	EXECUTED	2021-01-01T14:58:40Z	19924	Rupiah	IDR	Mastercard 4505964110651645	American Express 9119180451193008	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
332490	EXECUTED	2020-12-07T22:38:54Z	28162	Euro	EUR		РЎС‡РµС‚ 91982937938752279229	РћС‚РєСЂС‹С‚РёРµ РІРєР»Р°РґР°
5134725	CANCELED	2023-11-09T13:19:45Z	16096	Quetzal	GTQ	РЎС‡РµС‚ 57742872757718903241	РЎС‡РµС‚ 60843316198982025818	РџРµСЂРµРІРѕРґ СЃРѕ СЃС‡РµС‚Р° РЅР° СЃС‡РµС‚
4011624	EXECUTED	2023-01-10T22:13:49Z	25311	Yuan Renminbi	CNY	Discover 6760437696186407	Mastercard 2625117508517464	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
4739714	CANCELED	2021-03-16T09:50:38Z	29700	Baht	THB	Discover 5448680041474638	РЎС‡РµС‚ 81509213611289630443	РџРµСЂРµРІРѕРґ РѕСЂРіР°РЅРёР·Р°С†РёРё
1458490	CANCELED	2022-07-27T14:48:56Z	12715	Rupiah	IDR	Mastercard 7898353316523010	Discover 7865481033896023	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
4115243	EXECUTED	2020-10-02T00:58:23Z	33795	Ariary	MGA	Mastercard 4128552733966298	Visa 3778726670159351	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
3231212	EXECUTED	2021-12-07T14:29:02Z	25077	Real	BRL	Mastercard 7071811090567326	Visa 3745592687709450	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
1781876	PENDING	2023-02-20T11:08:40Z	24586	Franc	XAF	American Express 4188660988695878	American Express 4670165143133955	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
3422007	EXECUTED	2022-02-16T00:17:31Z	14786	Peso	PHP	РЎС‡РµС‚ 85848394284577523191	РЎС‡РµС‚ 40992043018007723745	РџРµСЂРµРІРѕРґ РѕСЂРіР°РЅРёР·Р°С†РёРё
2833087	EXECUTED	2022-09-02T21:13:15Z	28421	Hryvnia	UAH	РЎС‡РµС‚ 93938816885471635309	РЎС‡РµС‚ 27679999248091965215	РџРµСЂРµРІРѕРґ СЃРѕ СЃС‡РµС‚Р° РЅР° СЃС‡РµС‚
3211835	CANCELED	2020-07-03T13:56:11Z	30035	Rial	QAR	Visa 8001999082783412	Mastercard 0430116126947445	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
2627887	CANCELED	2020-01-03T17:08:51Z	18001	Yuan Renminbi	CNY	Mastercard 8757974222871146	Discover 7955094807047223	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
